Row,userid,mood,activity.daily_routines,activity.emotional,activity.entertainment,activity.intellectual,activity.live_music,activity.music_listening,activity.on_the_move,activity.physical,activity.social
Row 66,12,aggressive,1,0,0,0,1,1,1,1,1
Row 67,12,angry,1,1,0,0,0,1,1,0,0
Row 68,12,bitchy,0,1,1,1,1,0,1,0,0
Row 69,12,dreamy,0,1,1,1,0,0,0,0,1
Row 70,12,emotional,0,0,1,1,0,0,1,1,1
Row 71,12,encouraged,0,0,1,0,0,0,1,1,0
Row 72,12,excited,1,0,0,0,0,1,1,1,1
Row 73,12,furious,0,0,0,0,0,0,0,0,0
Row 74,12,jumpy,1,0,0,0,1,0,1,1,0
Row 75,12,playful,1,0,0,0,0,1,1,1,0
Row 76,12,powerful,1,0,1,0,1,0,1,1,1
Row 77,12,relaxed,1,1,0,1,0,1,0,0,0
Row 78,12,repetitive,0,0,0,0,0,0,1,0,0
Row 79,12,serene,0,0,0,1,0,0,0,0,0
Row 80,12,sexual,0,1,0,0,0,0,0,1,0
Row 81,12,smooth,1,1,0,0,0,0,1,0,0
Row 82,12,stylish,0,1,1,0,1,0,1,0,1
Row 83,13,dancing,0,1,0,0,0,0,0,0,0
Row 84,13,elegant,0,1,0,0,0,0,0,0,0
Row 85,13,energetic,0,1,0,0,0,0,0,0,0
Row 86,13,excited,0,0,0,0,1,0,0,0,0
Row 87,13,in_love,0,0,0,0,0,0,0,0,1
Row 88,13,intense,0,0,0,0,0,0,0,1,0
Row 89,13,interested,0,0,0,0,1,0,0,0,0
Row 90,13,light_hearted,0,0,0,0,0,0,0,1,0
Row 91,13,moody,0,1,0,0,0,0,0,0,0
Row 92,13,motivational,0,0,0,0,0,0,0,0,1
Row 93,13,reflective,0,0,0,0,0,1,0,0,0
Row 94,13,religious,0,0,0,1,0,0,0,0,0
Row 95,13,sad,0,0,0,0,1,0,0,0,0
Row 96,13,sensual,0,0,0,0,1,0,0,0,0
Row 97,13,soft,0,1,0,0,0,0,0,0,0
Row 98,13,stimulated,0,0,0,0,0,0,1,0,0
Row 99,14,delighted,0,0,0,0,0,0,1,0,0
Row 100,14,hot,0,0,0,1,0,0,0,0,0
Row 101,15,powerful,0,0,0,0,0,0,0,1,0
Row 102,15,severe,0,0,0,0,0,0,0,0,0
Row 103,16,angry,0,0,0,0,0,0,0,1,0
Row 104,16,bored,0,0,0,0,0,0,0,1,0
Row 105,16,delighted,0,0,0,0,0,0,0,0,1
Row 106,16,epic,0,1,0,0,0,0,0,0,0
Row 107,16,glorious,0,0,0,1,0,0,0,0,0
Row 108,16,intense,0,0,0,0,0,0,1,0,0
Row 109,16,liberated,0,0,0,0,0,0,1,0,0
Row 110,16,melancholic,0,1,0,0,0,0,0,0,0
Row 111,16,nocturnal,0,0,0,0,0,0,0,0,1
Row 112,16,repetitive,0,0,0,0,0,0,1,0,0
Row 113,16,sad,0,0,1,0,0,0,0,0,0
Row 114,16,spiritual,0,1,0,0,0,0,0,0,0
Row 115,16,tragic,0,1,0,0,0,0,0,0,0
Row 116,16,uplifting,1,0,0,0,0,0,0,0,0
Row 117,17,aggressive,0,1,1,0,1,0,0,1,0
Row 118,17,animated,0,1,1,0,0,0,0,1,0
Row 119,17,dreamy,0,1,1,0,0,1,0,0,0
Row 120,17,driving,1,0,0,0,0,0,0,1,0
Row 121,17,energetic,1,0,1,0,1,0,1,1,0
Row 122,17,euphoric,0,1,0,0,1,1,0,0,0
Row 123,17,friendly,1,1,1,1,1,0,1,0,1
Row 124,17,fun,1,1,1,0,1,1,1,1,0
Row 125,17,funny,1,1,1,0,0,0,1,0,0
Row 126,17,good,1,1,1,0,0,1,1,1,1
Row 127,17,happy,0,1,1,0,0,0,1,1,0
Row 128,17,hot,0,1,1,0,1,0,0,1,0
Row 129,17,intense,1,0,1,0,1,0,1,1,0
Row 130,17,interested,0,1,0,1,1,1,0,0,1
Row 131,17,joyful,1,1,1,0,1,1,1,1,1
Row 132,17,jumpy,0,0,0,1,0,0,0,0,0
Row 133,17,positive,1,1,0,0,1,1,1,1,1
Row 134,17,pulsating,1,0,1,0,0,0,1,1,0
Row 135,17,severe,0,0,0,0,1,0,1,1,0
Row 136,17,soft,0,1,0,1,0,0,0,0,1
Row 137,17,spiritual,0,1,0,1,1,1,0,0,1
Row 138,17,stylish,1,1,1,1,0,0,0,0,0
Row 139,17,tragic,0,1,0,1,0,1,0,0,0
Row 140,17,tranquil,0,1,0,1,0,0,0,0,0
Row 141,18,dancing,0,0,1,0,0,0,0,0,0
Row 142,18,passionate,1,0,1,0,1,1,0,1,0
Row 143,19,emotional,0,0,0,0,0,0,0,0,0
Row 144,20,encouraged,0,0,0,0,0,0,0,1,0
Row 145,20,good,0,0,1,0,1,1,0,1,1
Row 146,20,nocturnal,0,0,1,0,1,1,1,0,1
Row 147,20,powerful,0,0,1,0,0,0,0,1,0
Row 148,21,reflective,0,1,0,1,1,1,1,0,0
Row 149,22,angry,0,0,0,1,0,0,0,1,0
Row 150,22,bored,1,0,1,1,0,0,0,0,0
Row 151,22,driving,0,0,0,1,0,0,1,1,0
Row 152,22,easy,1,0,0,1,0,0,0,1,0
Row 153,22,encouraged,0,0,1,1,0,0,1,0,0
Row 154,22,epic,0,1,1,1,0,0,0,0,0
Row 155,22,festive,1,0,0,1,0,0,0,1,0
Row 156,22,friendly,1,0,1,0,0,0,0,1,0
Row 157,22,funny,0,1,1,1,0,0,0,0,0
Row 158,22,furious,0,1,0,0,0,0,0,1,0
Row 159,22,glorious,0,1,1,0,0,0,0,0,0
Row 160,22,good,0,1,1,1,0,0,0,0,0
Row 161,22,graceful,0,1,0,1,0,0,0,0,0
Row 162,22,intense,0,0,0,1,0,0,0,1,1
Row 163,22,melancholic,1,0,0,1,0,0,0,1,0
Row 164,22,nocturnal,0,0,0,1,1,0,0,0,0
Row 165,22,passionate,0,0,1,0,0,0,1,0,0
Row 166,22,smooth,0,1,0,0,0,0,1,0,0
Row 167,22,stylish,1,0,0,1,0,0,0,0,0
Row 168,22,uplifting,1,0,0,1,0,0,0,1,0
Row 169,23,retro,0,0,0,0,0,0,0,0,1
Row 170,24,aggressive,0,0,0,0,0,0,0,1,0
Row 171,24,dramatic,0,0,0,0,0,0,0,0,0
Row 172,24,driving,0,0,0,0,0,0,1,0,0
Row 173,24,easy,0,0,0,0,0,0,0,0,0
Row 174,24,elegant,0,0,0,0,0,0,0,0,1
Row 175,24,euphoric,0,0,0,0,0,0,0,0,0
Row 176,24,excited,0,0,0,0,0,0,0,1,0
Row 177,24,free,0,0,0,0,0,0,0,0,0
Row 178,24,fun,0,0,0,0,0,0,0,0,1
Row 179,24,funny,0,0,1,0,0,0,0,0,0
Row 180,24,graceful,0,0,0,0,0,0,0,0,0
Row 181,24,happy,1,0,1,0,0,0,0,0,0
Row 182,24,interested,0,0,0,0,0,0,0,0,0
Row 183,24,loud,,,,,,,,,
Row 184,24,motivational,0,0,0,0,0,0,0,1,0
Row 185,24,passionate,0,0,0,0,0,0,0,1,0
Row 186,24,sad,0,1,0,0,0,0,0,0,0
Row 187,24,sentimental,0,0,0,0,0,0,0,0,0
Row 188,24,severe,0,0,0,0,0,0,0,0,0
Row 189,24,sexual,0,1,0,0,0,0,0,0,0
Row 190,24,sexy,0,1,0,0,0,0,0,0,0
Row 191,24,slow,0,0,0,1,0,0,0,0,0
Row 192,24,spontaneous,0,0,0,0,0,0,0,0,0
Row 193,25,adorable,0,0,0,0,1,0,0,0,0
Row 194,25,aggressive,0,0,1,0,1,0,0,0,0
Row 195,25,amazed,0,0,0,0,1,0,0,0,0
Row 196,25,angry,,,,,,,,,
Row 197,25,animated,0,1,0,0,1,0,0,0,0
Row 198,25,bitchy,,,,,,,,,
Row 199,25,bored,0,1,0,0,0,0,0,0,0
Row 200,25,celebratory,0,0,0,0,1,0,0,0,0
Row 201,25,cool,0,0,0,0,1,0,0,0,0
Row 202,25,dancing,0,1,1,0,1,0,0,1,1
Row 203,25,deep,0,0,0,1,0,0,0,0,0
Row 204,25,delighted,,,,,,,,,
Row 205,25,dramatic,0,0,0,0,0,0,1,0,0
Row 206,25,dreamy,0,0,0,1,0,0,0,0,0
Row 207,25,driving,0,1,0,0,0,0,0,1,0
Row 208,25,easy,1,1,1,0,0,0,0,0,0
Row 209,25,elegant,0,0,0,1,0,0,0,0,0
Row 210,25,emotional,0,0,0,0,1,0,0,0,0
Row 211,25,encouraged,0,0,1,0,0,0,0,0,0
Row 212,25,energetic,0,0,0,0,0,1,0,0,0
Row 213,25,enthusiastic,0,0,1,0,1,0,0,1,0
Row 214,25,epic,0,1,0,0,0,0,0,0,0
Row 215,25,euphoric,0,0,0,1,1,0,0,1,0
Row 216,25,excited,0,0,0,0,0,0,0,0,1
Row 217,25,fantastic,,,,,,,,,
Row 218,25,fast,0,0,0,1,0,0,0,0,0
Row 219,25,festive,,,,,,,,,
Row 220,25,free,,,,,,,,,
Row 221,25,friendly,0,1,0,0,0,0,0,0,1
Row 222,25,fun,0,0,0,0,0,0,0,0,0
Row 223,25,funny,0,0,0,0,0,0,0,0,1
Row 224,25,furious,0,0,1,0,0,0,0,0,0
Row 225,25,gentle,0,1,0,0,0,0,0,1,0
Row 226,25,glorious,0,0,0,0,0,0,0,1,0
Row 227,25,good,0,0,1,0,1,0,0,0,1
Row 228,25,graceful,0,1,0,0,1,0,0,0,0
Row 229,25,happy,0,0,0,0,1,0,0,0,0
Row 230,25,heroic,0,0,0,0,0,0,1,0,0
Row 231,25,hot,0,0,0,0,0,0,0,0,1
Row 232,25,in_love,0,0,0,0,1,1,0,0,1
Row 233,25,inspired,0,1,0,0,0,1,0,0,1
Row 234,25,intense,,,,,,,,,
Row 235,25,interested,0,0,1,0,0,0,0,0,0
Row 236,25,joyful,,,,,,,,,
Row 237,25,jumpy,,,,,,,,,
Row 238,25,liberated,0,0,0,0,0,0,0,1,0
Row 239,25,light_hearted,0,0,0,0,1,0,0,0,0
Row 240,25,liked,0,0,0,0,0,0,0,0,1
Row 241,25,loud,0,0,1,0,0,0,0,0,0
Row 242,25,melancholic,0,1,0,0,0,0,0,1,0
Row 243,25,moody,0,1,0,0,0,0,0,0,0
Row 244,25,motivational,0,0,0,1,0,0,0,0,0
Row 245,25,nocturnal,0,0,1,0,1,0,0,0,0
Row 246,25,passionate,0,1,0,0,1,0,1,1,1
Row 247,25,peaceful,0,0,0,0,0,0,0,1,0
Row 248,25,playful,1,0,0,0,0,0,0,0,0
Row 249,25,pleasant,0,0,0,0,1,0,0,0,0
Row 250,25,positive,0,0,0,0,1,0,0,0,0
Row 251,25,powerful,1,1,0,0,0,0,1,1,1
Row 252,25,pulsating,0,1,0,0,0,0,0,0,0
Row 253,25,reflective,0,1,0,0,0,0,0,1,0
Row 254,25,relaxed,0,0,1,0,1,1,0,0,0
Row 255,25,religious,0,0,1,0,0,0,0,0,0
Row 256,25,repetitive,,,,,,,,,
Row 257,25,retro,0,0,0,0,0,0,0,1,0
Row 258,25,rhythmical,,,,,,,,,
Row 259,25,romantic,0,1,0,0,0,0,0,0,0
Row 260,25,sad,0,1,0,0,0,0,0,0,0
Row 261,25,satisfied,0,0,1,0,0,0,0,0,0
Row 262,25,sensual,0,1,0,0,0,0,0,0,0
Row 263,25,sentimental,0,0,0,0,0,1,0,0,0
Row 264,25,serene,0,0,0,0,0,0,0,0,0
Row 265,25,severe,0,1,0,0,0,0,0,0,0
Row 266,25,sexual,0,1,0,0,0,0,0,0,0
Row 267,25,sexy,0,1,0,0,0,1,0,0,0
Row 268,25,slow,0,0,0,0,0,0,0,1,0
Row 269,25,smooth,0,0,0,0,0,0,0,0,0
Row 270,25,soft,0,0,0,0,0,0,0,0,1
Row 271,25,sorry,0,1,0,0,1,0,0,0,0
Row 272,25,spiritual,,,,,,,,,
Row 273,25,spontaneous,0,1,0,0,0,0,0,1,0
Row 274,25,stimulated,1,0,1,1,1,0,1,1,0
Row 275,25,strong,0,0,1,0,0,0,0,0,0
Row 276,25,stylish,0,0,0,0,0,1,0,0,0
Row 277,25,successful,0,0,0,0,0,1,0,0,0
Row 278,25,tragic,0,1,0,0,1,0,0,0,0
Row 279,25,tranquil,0,0,1,0,1,0,0,0,0
Row 280,25,uplifting,0,1,0,0,0,1,0,0,0
Row 281,26,adorable,1,0,1,0,0,0,1,0,0
Row 282,26,aggressive,0,0,1,1,0,0,1,0,0
Row 283,26,angry,0,1,0,0,0,0,0,1,1
Row 284,26,bored,1,1,0,0,0,0,1,1,1
Row 285,26,celebratory,0,0,1,1,0,0,1,0,0
Row 286,26,deep,0,0,1,0,0,0,0,0,0
Row 287,26,dramatic,1,0,1,1,0,1,1,0,0
Row 288,26,driving,1,0,0,1,0,0,1,0,0
Row 289,26,easy,0,0,1,1,0,0,1,0,0
Row 290,26,elegant,0,0,1,1,0,0,0,1,0
Row 291,26,encouraged,0,0,1,0,0,0,0,0,0
Row 292,26,enthusiastic,0,0,1,0,1,0,0,1,0
Row 293,26,euphoric,0,0,1,1,0,0,1,0,0
Row 294,26,excited,0,0,0,0,0,0,0,1,0
Row 295,26,fast,0,0,1,1,0,0,0,1,0
Row 296,26,fun,1,1,1,1,1,1,1,1,1
Row 297,26,funny,0,1,1,1,0,0,0,0,0
Row 298,26,furious,0,0,0,0,0,1,0,1,1
Row 299,26,gentle,1,0,1,1,0,0,0,0,0
Row 300,26,graceful,0,0,0,1,1,0,0,1,0
Row 301,26,heroic,1,0,1,0,0,0,1,0,0
Row 302,26,hot,0,0,0,0,0,0,0,1,0
Row 303,26,in_love,0,0,1,1,0,0,1,0,0
Row 304,26,intense,0,1,1,0,0,0,0,1,0
Row 305,26,jumpy,1,0,1,1,0,1,1,0,0
Row 306,26,liked,0,0,0,0,0,0,0,1,0
Row 307,26,loud,0,0,1,0,0,0,0,0,0
Row 308,26,moody,0,0,1,1,0,0,1,0,0
Row 309,26,passionate,1,0,1,0,0,0,1,0,0
Row 310,26,reflective,0,1,1,1,0,0,1,0,0
Row 311,26,relaxed,1,0,1,1,0,0,0,0,0
Row 312,26,repetitive,1,0,1,0,0,1,1,0,1
Row 313,26,rhythmical,0,0,1,1,0,0,1,0,0
Row 314,26,romantic,0,1,1,0,0,1,0,0,0
Row 315,26,sensual,0,1,1,0,0,0,0,1,0
Row 316,26,serene,0,1,1,1,0,0,1,1,0
Row 317,26,severe,0,0,1,1,0,0,1,0,0
Row 318,26,sexual,0,0,0,1,0,0,1,1,1
Row 319,26,sexy,1,0,1,0,0,0,1,0,0
Row 320,26,slow,1,0,0,0,0,0,0,0,0
Row 321,26,soft,0,0,1,0,0,0,0,0,0
Row 322,26,sorry,0,0,0,1,0,0,0,0,0
Row 323,26,spiritual,0,0,1,1,0,0,1,0,0
Row 324,26,stimulated,0,0,1,1,0,0,1,0,0
Row 325,26,strong,1,0,0,0,0,0,0,0,0
Row 326,26,stylish,0,0,0,0,0,0,1,0,0
Row 327,26,successful,1,0,1,1,0,1,1,0,0
Row 328,26,tragic,0,1,0,0,0,0,0,0,0
Row 329,26,tranquil,0,0,0,0,0,0,0,1,0
Row 330,26,uplifting,0,0,1,1,0,0,1,0,0
Row 331,27,bitchy,0,1,0,0,0,1,0,1,0
Row 332,27,emotional,0,1,0,1,0,1,0,0,0
Row 333,27,loud,0,0,0,0,1,1,0,0,1
Row 334,27,pleasant,0,1,0,0,0,0,0,1,0
Row 335,27,pulsating,,,,,,,,,
Row 336,27,retro,0,0,0,1,1,1,0,0,0
Row 337,27,romantic,0,1,0,0,0,1,0,1,1
Row 338,27,satisfied,1,1,0,1,1,1,0,1,1
Row 339,27,serene,0,1,0,1,0,0,0,0,0
Row 340,27,stimulated,0,0,0,0,0,1,0,0,0
Row 341,28,excited,0,1,0,1,1,0,0,0,0
Row 342,28,peaceful,1,0,1,1,0,0,0,0,0
Row 343,29,cool,0,0,0,0,1,0,0,0,0
Row 344,29,satisfied,,,,,,,,,
Row 345,29,successful,0,1,0,0,0,0,0,0,0
Row 346,30,amazed,0,0,0,0,0,0,0,1,0
Row 347,30,joyful,0,1,0,1,0,0,0,0,1
Row 348,31,playful,1,0,0,0,0,0,1,0,0
Row 349,32,satisfied,0,0,1,0,1,0,1,0,0
Row 350,32,stimulated,0,1,1,0,0,0,0,0,0
Row 351,34,animated,0,0,0,0,1,0,0,0,1
Row 352,34,delighted,0,0,1,1,1,1,0,1,1
Row 353,34,joyful,1,0,0,0,0,1,0,0,1
Row 354,35,aggressive,0,0,0,0,1,1,1,1,0
Row 355,35,satisfied,1,1,0,0,1,1,1,0,0
Row 356,37,jumpy,0,0,0,0,0,0,0,1,1
Row 357,37,romantic,1,0,1,0,0,0,0,0,1
Row 358,38,amazed,1,0,0,1,0,0,0,1,0
Row 359,38,animated,,,,,,,,,
Row 360,38,bitchy,0,1,0,0,0,0,0,0,0
Row 361,38,celebratory,0,0,0,1,0,0,0,1,0
Row 362,38,dramatic,0,0,0,0,0,0,0,0,0
Row 363,38,driving,1,0,1,0,0,0,0,0,0
Row 364,38,elegant,0,0,0,0,0,0,0,0,0
Row 365,38,emotional,0,1,1,1,0,0,0,0,1
Row 366,38,euphoric,0,0,0,0,1,0,0,0,0
Row 367,38,free,0,0,0,0,0,0,0,1,0
Row 368,38,furious,0,0,0,0,0,1,0,0,0
Row 369,38,good,0,0,0,1,0,0,0,1,0
Row 370,38,graceful,0,0,0,0,0,1,0,0,0
Row 371,38,joyful,0,0,0,0,0,0,0,0,1
Row 372,38,liked,0,0,1,0,0,0,0,0,0
Row 373,38,loud,0,0,0,0,0,0,0,1,0
Row 374,38,melancholic,0,0,0,0,0,0,0,0,0
Row 375,38,nocturnal,1,0,0,0,0,0,0,1,1
Row 376,38,passionate,0,1,0,0,0,0,0,0,0
Row 377,38,pleasant,0,1,0,0,0,0,0,0,0
Row 378,38,positive,0,0,0,0,0,1,0,0,0
Row 379,38,religious,0,0,1,0,0,0,0,0,0
Row 380,38,repetitive,0,1,1,0,0,0,0,0,0
Row 381,38,rhythmical,1,1,0,0,0,1,0,0,0
Row 382,38,sentimental,0,0,0,0,1,0,0,0,0
Row 383,38,severe,0,1,0,0,0,0,0,0,0
Row 384,38,sexual,0,1,1,0,0,0,0,0,0
Row 385,39,aggressive,0,0,1,0,1,0,1,1,0
Row 386,39,celebratory,1,0,1,0,1,1,1,1,0
Row 387,39,easy,,,,,,,,,
Row 388,39,elegant,0,0,0,0,0,0,0,0,0
Row 389,39,encouraged,0,0,1,0,0,0,0,1,0
Row 390,39,energetic,1,0,1,0,1,0,1,1,1
Row 391,39,fun,1,0,1,0,1,0,1,1,1
Row 392,39,hot,0,0,0,0,1,0,0,1,1
Row 393,39,light_hearted,1,0,0,0,0,1,1,0,0
Row 394,39,peaceful,1,0,0,1,0,1,1,0,0
Row 395,39,religious,0,0,0,0,0,1,0,1,0
Row 396,39,slow,,,,,,,,,
Row 397,39,tragic,0,1,0,0,1,1,0,0,0
Row 398,40,angry,0,1,0,0,0,0,0,0,0
Row 399,40,bored,0,1,0,0,0,0,0,0,0
Row 400,40,fantastic,0,1,0,0,1,0,0,1,0
Row 401,40,loud,0,0,1,0,1,0,1,0,0
Row 402,40,pulsating,0,0,1,0,1,0,0,1,0
Row 403,41,driving,1,0,1,0,0,0,0,0,0
Row 404,41,excited,0,0,1,0,0,0,0,0,0
Row 405,41,gentle,0,0,1,0,1,1,0,0,0
Row 406,41,good,0,0,0,0,0,1,0,0,0
Row 407,41,interested,0,0,1,0,0,0,0,0,0
Row 408,41,sexy,1,0,0,0,0,0,1,0,0
Row 409,41,tranquil,0,0,1,0,0,1,0,0,0
Row 410,42,enthusiastic,0,0,0,0,0,0,0,0,0
Row 411,42,spontaneous,0,0,0,0,0,0,1,0,0
Row 412,43,amazed,0,0,1,0,0,0,1,1,0
Row 413,43,inspired,1,0,0,0,0,0,1,1,1
Row 414,44,sexual,0,0,1,0,0,0,1,1,1
Row 415,44,slow,0,1,0,0,0,0,1,1,1
Row 416,45,aggressive,0,0,0,0,0,0,1,0,0
Row 417,45,bored,0,0,0,0,0,0,0,0,0
Row 418,45,easy,0,0,0,0,0,0,1,1,0
Row 419,45,emotional,0,1,0,0,0,0,0,0,0
Row 420,45,excited,0,0,0,0,0,0,1,0,0
Row 421,45,fantastic,0,0,0,0,0,0,0,0,1
Row 422,45,fun,1,0,0,0,0,0,1,0,0
Row 423,45,funny,1,0,0,0,0,0,1,0,0
Row 424,45,gentle,0,1,0,0,0,0,0,0,0
Row 425,45,glorious,0,0,0,0,0,0,0,1,0
Row 426,45,happy,0,0,0,0,0,0,0,1,0
Row 427,45,joyful,0,0,0,0,0,0,1,0,0
Row 428,45,light_hearted,0,0,1,0,0,0,0,1,0
Row 429,45,liked,0,0,0,0,0,0,0,0,1
Row 430,45,motivational,1,0,0,0,0,0,0,0,1
Row 431,45,nocturnal,0,1,0,0,0,0,0,0,0
Row 432,45,passionate,0,0,0,0,0,0,0,1,0
Row 433,45,peaceful,0,0,0,0,0,1,0,0,0
Row 434,45,pleasant,0,0,0,0,0,0,0,0,1
Row 435,45,reflective,0,1,0,0,0,0,0,0,0
Row 436,45,retro,1,0,1,1,1,0,0,1,0
Row 437,45,sad,0,1,0,0,0,0,0,0,0
Row 438,45,sensual,0,1,0,0,0,0,0,0,0
Row 439,45,sexual,0,0,0,0,0,0,0,1,0
Row 440,45,sexy,0,1,0,0,0,0,0,0,0
Row 441,45,smooth,0,1,0,0,0,0,1,1,0
Row 442,45,spiritual,0,1,0,0,0,0,0,0,0
Row 443,45,spontaneous,0,0,0,0,0,0,0,1,0
Row 444,45,successful,0,0,0,1,0,0,0,0,0
Row 445,45,tranquil,0,1,0,0,0,0,0,0,0
Row 446,46,aggressive,0,0,0,0,0,0,0,0,0
Row 447,46,animated,0,0,0,0,0,0,0,0,0
Row 448,46,bitchy,0,0,0,0,0,0,0,0,0
Row 449,46,bored,0,0,0,0,0,0,0,0,0
Row 450,46,encouraged,0,0,0,0,0,0,0,0,0
Row 451,46,excited,0,0,0,0,0,0,0,0,0
Row 452,46,fantastic,0,0,0,0,0,0,0,0,0
Row 453,46,funny,0,0,0,0,0,0,0,0,0
Row 454,46,furious,0,0,0,0,0,0,0,0,0
Row 455,46,good,0,0,0,0,0,0,0,0,0
Row 456,46,heroic,0,0,0,0,0,0,0,0,0
Row 457,46,interested,0,0,0,0,0,0,0,0,0
Row 458,46,light_hearted,0,0,0,0,0,0,0,0,0
Row 459,46,playful,0,0,0,0,0,0,0,0,0
Row 460,46,positive,0,0,0,0,0,0,0,0,0
Row 461,46,religious,0,0,0,0,0,0,0,0,0
Row 462,46,repetitive,0,0,0,0,0,0,0,0,0
Row 463,46,rhythmical,1,0,0,0,0,0,0,0,0
Row 464,46,romantic,0,0,0,0,0,0,0,0,0
Row 465,46,sentimental,0,0,0,0,0,0,0,0,0
Row 466,46,severe,0,0,0,0,0,0,0,0,0
Row 467,46,sexy,0,0,0,0,0,0,0,0,0
Row 468,47,animated,1,0,0,0,0,0,0,0,0
Row 469,47,bitchy,0,0,0,0,0,0,0,0,1
Row 470,47,deep,0,0,0,0,1,0,0,0,0
Row 471,47,dreamy,0,0,0,0,0,0,1,0,0
Row 472,47,encouraged,0,0,0,0,0,1,0,0,0
Row 473,47,free,0,0,0,0,0,0,0,0,1
Row 474,47,friendly,0,0,0,0,1,0,0,0,0
Row 475,47,funny,0,0,0,0,0,0,0,1,0
Row 476,47,furious,0,0,0,0,0,0,0,1,0
Row 477,47,in_love,0,0,0,0,0,0,1,0,0
Row 478,47,pulsating,0,0,0,0,1,0,0,0,0
Row 479,47,reflective,0,0,0,0,1,0,0,0,0
Row 480,47,retro,0,0,1,0,0,0,0,0,0
Row 481,47,romantic,0,0,0,0,0,0,0,0,1
Row 482,47,sexy,0,0,0,0,0,0,0,0,1
Row 483,47,stylish,0,0,0,0,1,0,0,0,0
Row 484,47,successful,0,0,0,0,0,0,1,0,0
