"trackid","artistname","tracknumber","duration","artistid","tracktitle","releasetitle","releaseid"
13808672,"INXS",8,185,1399,"Never Tear Us Apart","Kick",1249509
13808899,"Marvin Gaye",3,229,27,"Flyin' High (In The Friendly Sky)","What's Going On - 40th Anniversary",1249519
13835763,"Foster The People",2,239,840758,"Pumped up Kicks","Torches",1252021
13843650,"Death Cab for Cutie",5,287,11809,"You Are A Tourist","Codes and Keys",1252877
13843688,"The Oscar Peterson Trio",2,367,781,"Falling In Love With Love","Sunday Jazz Cafe, Vol. 1",1252884
13876368,"Electric Light Orchestra",12,243,411,"All over the World","All Over The World: The Very Best Of ELO (The Original Studio Recordings)",1255897
13876372,"Electric Light Orchestra",16,201,411,"Xanadu (New Version)","All Over The World: The Very Best Of ELO (The Original Studio Recordings)",1255897
13879808,"Lady GaGa",13,253,237973,"Heavy Metal Lover","Born This Way",1256237
13905336,"Cool Angel",2,419,885988,"In My Heart, In My Soul, In My Love","Rock'n'roll Music",1258348
13905748,"Mukesh",2,229,55863,"Suhana safar","Mukesh",1258391
13905749,"Mukesh",3,206,55863,"Dil tadap tadap ke","Mukesh",1258391
13905757,"Mukesh",11,214,55863,"Mera dil todne wale","Mukesh",1258391
13911940,"Rhapsody of Fire",1,88,364269,"Ad Infinitum","From Chaos To Eternity",1258982
13917688,"Kid Loco",5,332,21447,"I'm a Hero","Confessions of a Belladonna Eater",1259605
13919570,"Lordi",417,181,3872,"Hard Rock Hallelujah (Eurovicious Radio Edit)","Pure... Hard Rock",1258899
13919699,"Franco De Vita",1,347,88406,"Dónde Está El Amor (Album Version)","Franco De Vita En Primera Fila",1258872
13919718,"Franco De Vita",13,234,88406,"Un Buen Perdedor (Album Version)","Franco De Vita En Primera Fila",1258872
13919722,"Franco De Vita",16,219,88406,"Te Amo (Album Version)","Franco De Vita En Primera Fila",1258872
13919726,"Franco De Vita",18,356,88406,"No Basta (Album Version)","Franco De Vita En Primera Fila",1258872
13922647,"Iron Maiden",12,470,1252,"Fear Of The Dark (Live '01)","From Fear To Eternity",1259855
13932921,"New Order",8,450,4737,"Blue Monday (2011 Total Version)","TOTAL",1260965
13933757,"Sniff 'n' The Tears",39,232,268011,"Driver's Seat","Old Grey Whistle Test 40th Anniversary",1261041
13938654,"Mojo Mayne",3,221,1005077,"Guns n Roses","Street Voodoo",1261610
13938786,"Rock Mafia",1,210,861438,"Fly or Die","Fly or Die",1261619
13939734,"Amplify",3,395,491160,"Stimulated Response","Amplify - Rock-it EP",1261733
13951141,"Praveen",1,415,206714,"Dabangg","Dabangg",1262852
13954136,"Netics",4,442,899243,"I Got Bills to Pay (Sheshak Rebirth Remix)","Le Début Ep",1263149
13960317,"Gina",1,432,294135,"Every Night In My Dreams (Extended Mix)","Every Night In My Dreams",1263699
13972258,"The Rubinoos",1,145,35282,"Smile, Be Happy (The Spontaneous Smiley Song)","Smile, Be Happy (The Spontaneous Smiley Song)",1264626
13987910,"Chino y Nacho Karaoke Band",1,229,1007144,"Mi niña bonita","Mi niña bonita (Karaoke)",1266118
13987968,"The Trammps",36,217,20907,"Disco Inferno (7&quot; Version) (Re-Recorded / Remastered)"," I Love The 70s",1266122
14010092,"Deep East Music",8,190,1008327,"To the Pleasant Woodlands","iPop",1268686
14019825,"Yamasa Sound Team",42,24,889229,"Shin Tenka Mode!!","Pachi-Slot Tenkafubu2 Original Soundtrack",1269485
14028842,"Hans Zimmer",14,291,9855,"MOLOSSUS FROM BATMAN BEGINS","The Music of DC Comics: 75th AnniversaryCollection",1270402
14029003,"Asha Bhosle",7,249,17508,"Chura Liya","Asha - An Era In An Evening",1270405
14029009,"Asha Bhosle",201,215,17508,"Dum Maro Dum","Asha - An Era In An Evening",1270405
14040851,"Ed Sheeran",5,241,603309,"The A Team (Acoustic)","The A Team",1271551
14051836,"Devin Townsend Project",3,225,476640,"Juular","Deconstruction",1272623
14052674,"Johnny Mathis",2,167,40480,"Wonderful Wonderful","Mr Wonderful",1272683
14056641,"Cartoon King",12,152,1011758,"Bright And Breezy - Lighthearted Cartoon Dance","Toon Zone (Music from Cartoon Movies)",1272953
14059328,"Tech N9ne",6,326,39786,"Worldwide Choppers (feat. Ceza, JL B.Hood, Uso, Yelawolf, Twista, Busta Rhymes, D-Loc and Twisted In","All 6's And 7's",1273222
14060707,"Inna",6,218,143513,"Love","Hot",1273293
14086110,"Richard Clayderman",1,144,21509,"Ballade Pour Adeline","Collection",1275466
14109894,"Pitbull",2,256,11439,"Give Me Everything","Planet Pit (Deluxe Version)",1277243
14109897,"Pitbull",4,234,11439,"Hey Baby (Drop It To The Floor)","Planet Pit (Deluxe Version)",1277243
14109898,"Pitbull",5,180,11439,"Pause","Planet Pit (Deluxe Version)",1277243
14109903,"Pitbull",8,229,11439,"International Love","Planet Pit (Deluxe Version)",1277243
14109954,"Sudesh Bhosle",8,192,245486,"Musafir Hoon Yaaron","An Era In An Evening",1277273
14124892,"Antonio Vivaldi",3,325,40670,"Antonio Vivaldi The Four Seasons - Autumn","Vivaldi Four Saesons and Other Classical Music Favorites - Best Relaxing Classical Music Online",1279167
14124990,"Antonio Vivaldi",17,236,40670,"Antonio Vivaldi The Four Seasons - Winter","Vivaldi Four Saesons and Other Classical Music Favorites - Best Relaxing Classical Music Online",1279167
14132801,"Hintergrundmusik Akademie",29,203,1015631,"Beethoven Moonlight Sonata - Beethoven Music","Hintergrundmusik - Romantik Musik",1279747
14147125,"Chita MILK and Chita Musume",9,237,1016648,"Dream not equal Goal","All About Chita MILK and Chita Musume",1280965
14148828,"Fontána",11,233,1016752,"Riana","Lovely Tunes - Modern Instrumental Melodies",1281126
14171074,"Massage Music",14,220,602430,"Satie - Gymnopedie n.1","Massage Music",1283030
14171115,"Relaxing Music",3,201,540619,"Relax","Relaxing Music",1283031
14171119,"Relaxing Music",7,179,540619,"Feng Shui Easy Listening Music","Relaxing Music",1283031
14171122,"Relaxing Music",10,154,540619,"Power Yoga Music","Relaxing Music",1283031
14171127,"Relaxing Music",15,89,540619,"Beethoven - Moonlight Sonata Classical Guitar Music Beethoven Music","Relaxing Music",1283031
14171150,"Relaxing Music",38,273,540619,"Fryderyk Chopin - Pre?ludes n.15, Opus 28 Chopin Music","Relaxing Music",1283031
14171159,"Relaxing Music",47,197,540619,"Spiritual Mindfulness Meditation","Relaxing Music",1283031
14178961,"Skrillex",2,283,843632,"Ruffneck (Flex)","More Monsters and Sprites EP",1283737
14180071,"Queen",1,355,204,"Bohemian Rhapsody","The Platinum Collection",1283801
14180072,"Queen",2,215,204,"Another One Bites The Dust","The Platinum Collection",1283801
14180073,"Queen",3,180,204,"Killer Queen","The Platinum Collection",1283801
14180075,"Queen",5,181,204,"Bicycle Race","The Platinum Collection",1283801
14180076,"Queen",6,171,204,"You're My Best Friend","The Platinum Collection",1283801
14180077,"Queen",7,210,204,"Don't Stop Me Now","The Platinum Collection",1283801
14180079,"Queen",9,163,204,"Crazy Little Thing Called Love","The Platinum Collection",1283801
14180080,"Queen",10,296,204,"Somebody To Love","The Platinum Collection",1283801
14180083,"Queen",13,212,204,"Play The Game","The Platinum Collection",1283801
14180086,"Queen",16,122,204,"We Will Rock You","The Platinum Collection",1283801
14180087,"Queen",17,187,204,"We Are The Champions","The Platinum Collection",1283801
14180088,"Queen",201,262,204,"A Kind Of Magic","The Platinum Collection",1283801
14180090,"Queen",203,343,204,"Radio Ga Ga","The Platinum Collection",1283801
14180092,"Queen",205,258,204,"I Want To Break Free","The Platinum Collection",1283801
14180096,"Queen",209,295,204,"Who Wants To Live Forever","The Platinum Collection",1283801
14180102,"Queen",215,249,204,"Friends Will Be Friends","The Platinum Collection",1283801
14180103,"Queen",216,264,204,"The Show Must Go On","The Platinum Collection",1283801
14180114,"Freddie Mercury",310,217,16240,"Living On My Own","The Platinum Collection",1283801
14197127,"Gabi featuring Nilson",1,480,1019620,"Repetitive Rush","Repetitive Rush",1285481
14197130,"Gabi and Nilson",2,426,1019621,"Repetitive Rush","Repetitive Rush",1285481
14203781,"Instrumental",3,231,11823,"Sathiya Nahin Jana","MOHD.RAFI &amp; LATA MANGESHKAR - DUET",1285908
14209606,"The Honeymoon Killers|Les Tueurs De La Lune De Miel",15,120,1019983,"Thank You Mr GB","The Honeymoon Killers",1286467
14220805,"Limp Bizkit",6,272,8280,"Shotgun","Gold Cobra",1287692
14250538,"Britten Quartet",203,125,115814,"String Quartet 'in Gloucestershire' (No. 3): II. Fairly quick, but always rhythmical","British Composers - Guide to Britain",1290865
14253508,"Instrumental",11,216,11823,"Musafir Hoon Yaaron","KISHORE KUMAR VOL-4",1291088
14253699,"Akram Rahi",1,467,67733,"Mele Lagde Rehan Ge","Mele Lagde Rehan Ge Vol. 23",1291140
14255730,"Instrumental",4,366,11823,"     Dil Hai Ke  Manta Nahin","KUMAR SANU",1291238
14261731,"Selena Gomez &amp; The Scene",2,195,425576,"Bang Bang Bang","When The Sun Goes Down",1291756
14262158,"Sabrina Chyld",1,433,2421923,"Take Me Feat Sabrina Chyld","Take Me Feat Sabrina Chyld",1291798
14265268,"Déjà Vu",7,259,610498,"Don't Stop Believing","Men of the 80s: A Tribute to Journey, Night Ranger and Foreigner",1292099
14269819,"DJ Redo",1,180,533546,"Que Sera - Hannah Montana (Hanna Montana Forever Soundtrack from the TV Series)(Instrumental)","Que Sera (Hannah Montana Forever)(Instrumental)",1292874
14269961,"DJ Redo",1,259,533546,"I Gotta Feeling - The Black Eyed Peas (The E.N.D. The Energy Never Dies)(Instrumental)","I Gotta Feeling (The Beginning)(Instrumental)",1292968
14278586,"Adele",1,350,142111,"Set Fire To The Rain (Thomas Gold Remix)","Set Fire To The Rain",1294090
14278957,"Maher Zain",2,296,562079,"Ya Nabi Salam Alayka","Thank You Allah (Malay Version)",1294139
14282837,"Disco Fever",9,200,863160,"One Way Ticket","Tribute to Boney M",1294447
14282876,"Reddy Bobbio Swing Orchestra",4,224,1024718,"Delighted","Delighted",1294451
14303470,"La Marea",1,442,2468035,"La Marea","La Marea",1295775
14308596,"Ramin Djawadi",1,106,81223,"Game Of Thrones - Main Title","Game Of Thrones",1296392
14313827,"LMFAO",2,203,312836,"Sorry For Party Rocking","Sorry For Party Rocking",1296836
14313828,"LMFAO",3,262,312836,"Party Rock Anthem","Sorry For Party Rocking",1296836
14313829,"LMFAO",4,199,312836,"Sexy And I Know It","Sorry For Party Rocking",1296836
14338819,"Ricky Martin",1,243,21223,"Livin' la Vida Loca","The Greatest Hits",1299068
14338836,"Ricky Martin",7,274,21223,"La Bomba","The Greatest Hits",1299068
14359240,"Johnny Cash",1,220,1448,"Hurt","Hurt",1301071
14359248,"Emma",1,226,17244,"Maybe","Maybe",1301073
14362091,"Snoop Dogg",1,240,1130,"Sensual Seduction","Sensual Seduction",1301392
14362546,"Cheb Rayan",233,241,927432,"Goulou L Mama","Les 100 Tubes Raï",1301260
14367815,"Eminem ft. - Dr. Dre Tribute Band",1,279,1029505,"I need a doctor","I need a doctor",1301950
14372725,"Network Music Ensemble",6,241,1016051,"Hearthstone","Instrumental Backgrounds (Solo)",1302418
14377454,"Akcent",56,340,95676,"That's My Name","Running Trax 3",1302720
14385329,"Royal Philharmonic Orchestra",7,596,19474,"English Folk Song Suite: English Folk Song Suite","Vaughan Williams",1303419
14414934,"Céline Dion",1,280,90221,"My Heart Will Go On (Love Theme from &quot;Titanic&quot;)","The Essential",1305636
14414950,"Céline Dion",8,287,90221,"The Power of Love (Radio Edit)","The Essential",1305636
14414967,"Céline Dion",13,210,90221,"I'm Alive","The Essential",1305636
14414981,"Céline Dion",17,249,90221,"Beauty and the Beast (Duet with Peabo Bryson from the Soundtrack &quot;Beauty and the Beast&quot;)","The Essential",1305636
14450590,"Demi Lovato",1,222,217426,"Skyscraper","Skyscraper",1309136
14458398,"The Heptones",12,214,10409,"Jumpy Me No Jumpy - Original","Mr T",1309611
14461524,"Elton John",9,227,1039,"Candle In The Wind","The Greatest Hits 1970-2002",1309802
14461536,"Elton John",204,248,1039,"Sad Songs (Say So Much)","The Greatest Hits 1970-2002",1309802
14461541,"Elton John",209,239,1039,"Can You Feel The Love Tonight","The Greatest Hits 1970-2002",1309802
14497285,"Selena Gomez",1,181,298887,"Shake It Up","Shake It Up",1312334
14526581,"Mc Boy",30,272,360896,"U Can't Touch This (A.R. Remix)","Summer Workout: 50 Tracks for Your Fitness On the Beach",1313414
14529437,"Dj Nano feat. Vanessa Klein",1,454,1037490,"I Drove All Night","I Drove All Night",1315199
14542108,"Alexia",9,256,97994,"Estate","Summer Pop Hits",1316439
14566653,"Never Shout Never",1,171,251204,"Can't Stand It","EP 02",1318407
14596083,"DJ ReMix Factory",18,32,330736,"Flash Dance (What a Feeling) (Dance ReMix    130 BPM)","DJs Only %u2013 80s Hits Samples (Dance ReMixes)",1320298
14600676,"Instrumental",10,340,11823,"Dil To Pagal Hai","YASH CHOPRA VOL-5",1320470
14600835,"Instrumental",11,256,11823,"Tune Mujhe Pehchana","SHAAN",1320484
14602121,"LA despedida De Soltero Del Miguel",1,230,1042790,"La Ramona","La Ramona Pechugona",1320599
14602795,"Instrumental",4,321,11823,"Suno Na Suno Na Sunlo Na","SHAHRUKH KHAN VOL-2",1320655
14609456,"Day Green Players",8,168,1042897,"Minority  (Bonus Track)","Tribute to American Idiot - The Musical",1321130
14633370,"Those Magnificent Men",1,179,1044530,"Lovely Day (The La La La La La La La La La La La La La La La La La La La La La La La La La Lovely Da","Lovely Day (The La La La La La La La La La La La La La La La La La La La La La La La La La Lovely Da",1323894
14636153,"Rata Blanca",7,242,108311,"Porque es tan difícil amar","XX aniversario en vivo - Magos, Espadas y Rosas",1324299
14647454,"Freak Da Bass",1,568,405461,"Stylish People","Freak Da Bass - Stylish People &amp; Club District",1325367
14647463,"Freak Da Bass",2,440,405461,"Stylish People","Freak Da Bass - Stylish People &amp; Club District",1325367
14676853,"Trivium",10,321,54272,"Forsake Not The Dream","In Waves",1327882
14679282,"Falling In Reverse",2,246,1004022,"Tragic Magic","The Drug In Me Is You",1328145
14679290,"Falling In Reverse",10,288,1004022,"Goodbye Graceful","The Drug In Me Is You",1328145
14686245,"Milli Vanilli",3,234,162343,"Blame It on the Rain","4 Hits: Milli Vanilli",1328647
14707145,"Robie Porter",10,154,1049407,"Don't You Know","Australia's Great Singing Star",1330915
14740055,"Robin Trower",1,245,68323,"The Playful Heart (Digitally Remastered Version)","The Playful Heart (Digitally Remastered Version)",1333689
14753818,"David Guetta",3,196,15219,"Sexy Bitch (feat. Akon)","One More Love",1334872
14756552,"Red Hot Chili Peppers",14,226,1283,"Dance, Dance, Dance","I'm With You",1335104
14756563,"Ed Sheeran",1,259,603309,"The A Team"," ",1335111
14756587,"Ed Sheeran",5,230,603309,"Wake Me Up"," ",1335111
14756611,"Ed Sheeran",10,220,603309,"You Need Me, I Don't Need You"," ",1335111
14756615,"Ed Sheeran",12,526,603309,"Give Me Love"," ",1335111
14764665,"Satory Seine",4,224,1052236,"Dance On the Cloud","Day",1335967
14776616,"Smooth Jazz All Stars",1,271,572192,"Lovergirl","Smooth Jazz Summer",1337141
14776637,"Smooth Jazz All Stars",22,231,572192,"Feels So Good","Smooth Jazz Summer",1337141
14799706,"Claudio Abbado / Orchestra Mozart / Alessio Allegrini",11,255,1055771,"Mozart: Horn Concerto No.4 In E Flat, K.495 - 3. Rondo (Allegro vivace)","Mozart: Horn Concertos",1339413
14809667,"Gucci Mane",1,247,92799,"Ferrari Boyz","Ferrari Boyz",1340502
14858571,"Olly Murs",1,201,785015,"Heart Skips a Beat","Heart Skips A Beat",1344534
14861938,"Dado Polumenta",3,238,494417,"Kad Pijem","100 Stepeni",1345115
14862103,"Viki Miljkovic",3,227,490837,"Crno Na Belo","Viki",1345142
14875509,"Camerata Bern / Thomas Füri / Thomas Füri",204,468,1060602,"Monn: Concerto for Violin and Orchestra in B flat major - 1. Allegro","Thomas Füri - The Early Viennese School",1346409
14879435,"Instrumental",4,285,11823,"Ae Mere Humsafar","UDIT NARAYAN VOL. ONE",1346627
14879498,"Instrumental",4,279,11823,"Tinak Tin Tana","UDIT NARAYAN VOL. FOUR",1346631
14918365,"Cirith Ungol",8,310,94225,"One Foot in Hell","One Foot In Hell",1350237
14929892,"Airscape",5,508,302337,"Lesperanza (DJ Tiesto Mix)[DJ Tiesto Mix]","Lesperanza",1351310
14935707,"Monsters Of Rock",4,403,1065071,"Nothing Else Matters","Metallica Tribute EP - Monsters Of Rock",1351781
14938653,"Maroon 5",1,201,222,"Moves Like Jagger","Moves Like Jagger",1352391
14990527,"Reyes De Cancion",11,268,977819,"Inalcanzable (As Made Famous By RBD)","Drew's Famous #1 Latin Karaoke Hits: Sing like RBD",1357309
14994034,"Karaoke Diamonds",4,267,880326,"Nothing Compares 2 U","Pop Hits, Vol. 60 (High Quality Backing Tracks)",1357646
15015049,"101 Classical Music Masterpieces",1,314,1071941,"Clair de Lune - Debussy","101 Classical Music Masterpieces - Best Classical Music and Classical Songs",1359137
15015055,"101 Classical Music Masterpieces",3,231,1071941,"Brahms Lullaby","101 Classical Music Masterpieces - Best Classical Music and Classical Songs",1359137
15015065,"101 Classical Music Masterpieces",8,254,1071941,"Fur Elise - Beethoven Music","101 Classical Music Masterpieces - Best Classical Music and Classical Songs",1359137
15015068,"101 Classical Music Masterpieces",9,80,1071941,"Chopin - Nocturne","101 Classical Music Masterpieces - Best Classical Music and Classical Songs",1359137
15015342,"101 Classical Music Masterpieces",99,333,1071941,"Beethoven 1st Mvmt Sonata No.14, Opus 27, No.2 MOONLIGHT SONATA","101 Classical Music Masterpieces - Best Classical Music and Classical Songs",1359137
15016379,"Piano",3,228,840740,"Canon in D","Piano",1359221
15020330,"Classical Chillout",39,271,1072326,"Romantic Piano Music","Classical Chillout",1359554
15029387,"Meditation",3,560,385893,"Tibetan Singing Bowl for Relaxation - Relaxation Sounds","Meditation",1359298
15031747,"Calvin Harris",16,321,49225,"Feel So Close (Benny Benassi Remix)","The Inbetweeners movie",1360261
15054157,"Various Artists",11,194,209,"Kafana Je Moja Sudbina","Zvezde Granda - Hitovi Za Sva Vremena vol. 2",1363245
15054346,"Rule; Dzej; Black Panters",13,228,1075075,"Ljuta I Slatka","Hitovi Leta 2010",1363257
15066780,"Kishore Kumar",31,255,17717,"Humein Tumse Pyar Kitna","From the Pen of Majrooh Sultanpuri",1364079
15070707,"Commodores",4,260,1333,"Living In the Edge","Brick House",1364404
15071300,"One Direction",1,200,1076111,"What Makes You Beautiful","What Makes You Beautiful",1364249
15071305,"One Direction",2,186,1076111,"Na Na Na","What Makes You Beautiful",1364249
15075325,"Amir Jamal",19,312,51616,"Kaho Na Kaho","Best of Bollywood",1364694
15088308,"Andrea Bocelli",1,249,1469,"Con Te Partirò","Andrea Bocelli - Romanza",1365571
15092431,"Herbert Von Karajan",1,972,9783,"Ravel: Boléro, M.81","Ravel: Boléro / Debussy: La Mer",1365893
15096771,"Dream Theater",1,523,4190,"On The Backs Of Angels","A Dramatic Turn Of Events",1366415
15117092,"Pascal Lefeuvre, György Kurtag Jr",7,268,1080540,"Heavy cigalicum metalica","Premiers pas/first steps",1368337
15144872,"Queen",207,360,204,"Friends Will Be Friends Will Be Friends","A Kind Of Magic",1371236
15145004,"Queen",2,325,204,"Made In Heaven","Made In Heaven",1371245
15174314,"Leo Dan",1,191,320279,"Mary Es Mi Amor","Mis Favoritas",1373325
15184315,"The Human League",2,298,408,"Love Action (I Believe in Love)","Essential",1374685
15184425,"Blondie",1,232,8807,"Atomic","Essential",1374693
15184482,"Bobby McFerrin",1,288,6164,"Don't Worry Be Happy","Essential",1374697
15187590,"Various Artists",1,284,209,"Minsan Lang Kitang Iibigin","MINSAN LANG KITA IIBIGIN",1375002
15192046,"Rameses B",1,322,1085493,"Stardust","Stardust",1375449
15201563,"Semsa Suljakovic",6,184,1086071,"Kad-Tad","Voli Vas Vasa Semsa",1376514
15232664,"Fleetwood Mac",1,190,4703,"Albatross","The Best of Peter Green's Fleetwood Mac",1379692
15302559,"Schiller / Peter Heppner",1,232,239675,"Leben - I Feel You","I Feel You",1386220
15314402,"Bernardo Pfeifer",2,414,567362,"Relaxed Soul","Relaxed Soul",1387770
15355881,"Gigi D'agostino",1,256,44941,"Bla Bla Bla","90s Super Hits",1391432
15359093,"Anita Ward",1,236,21224,"Ring My Bell","Ring My Bell",1391747
15364503,"La Oreja de Van Gogh",4,220,101631,"Cometas por el Cielo","Cometas Por El Cielo",1392137
15368723,"Opeth",9,497,8576,"Folklore","Heritage",1392765
15369188,"fun.",1,251,445777,"We Are Young (feat. Janelle Monáe)","We Are Young (feat. Janelle Monáe)",1392819
15373454,"Simple Minds",11,238,16269,"Hypnotised","Live At Hampton Court Palace 2011",1393149
15377272,"India Martinez",5,200,288690,"90 Minutos","Trece Verdades",1393592
15381525,"Cascada",1,199,29082,"Everytime We Touch","Everytime We Touch",1394106
15381526,"Cascada",2,200,29082,"Everytime We Touch","Everytime We Touch",1394106
15387799,"Coldplay",1,279,20,"Paradise","Paradise",1394828
15400159,"Scooter",2,345,40231,"Jumping All Over The World","Jumping All Over The World",1395995
15400749,"Guns N' Roses",5,336,678,"Knockin' On Heaven's Door","Greatest Hits",1396064
15408950,"Johnny Cash",6,147,1448,"Cry, Cry, Cry","100 Greatest Hits - The Very Best Of",1396924
15423846,"Birdman",1,188,139284,"Y.U. MAD","Y.U. MAD",1398292
15423938,"Joss Stone",1,218,233,"Fell In Love With A Boy","The Best Of Joss Stone 2003 - 2009",1398312
15427762,"Elton John",2,289,1039,"Circle of Life","The Lion King Collection",1398612
15445450,"Machine Head",5,388,62817,"Darkness Within","Unto The Locust",1400560
15461033,"BB King",28,204,249840,"B B Boogie","BB King - Blues Essentials (Digitally Remastered )",1401967
15462604,"Pink Floyd",3,328,447,"Set The Controls For The Heart Of The Sun (2011 Remastered Version)","A Saucerful Of Secrets [2011 - Remaster]",1402116
15462685,"Pink Floyd",2,170,447,"Breathe (In The Air) [2011 Remastered Version]","The Dark Side Of The Moon [2011 - Remaster]",1402123
15462687,"Pink Floyd",4,414,447,"Time (2011 Remastered Version)","The Dark Side Of The Moon [2011 - Remaster]",1402123
15462689,"Pink Floyd",6,383,447,"Money (2011 Remastered Version)","The Dark Side Of The Moon [2011 - Remaster]",1402123
15462690,"Pink Floyd",7,469,447,"Us And Them (2011 Remastered Version)","The Dark Side Of The Moon [2011 - Remaster]",1402123
15462691,"Pink Floyd",8,206,447,"Any Colour You Like (2011 Remastered Version)","The Dark Side Of The Moon [2011 - Remaster]",1402123
15462697,"Pink Floyd",4,335,447,"Wish You Were Here (2011 Remastered Version)","Wish You Were Here [2011 - Remaster]",1402124
15462701,"Pink Floyd",2,1025,447,"Dogs (2011 Remastered Version)","Animals [2011 - Remaster]",1402125
15462724,"Pink Floyd",8,379,447,"Coming Back To Life (2011 Remastered Version)","The Division Bell [2011 - Remaster]",1402127
15462747,"Pink Floyd",5,266,447,"Pow R. Toc. H (2011 Remastered Version)","The Piper At The Gates Of Dawn [2011 - Remaster]",1402129
15462749,"Pink Floyd",7,581,447,"Interstellar Overdrive (2011 Remastered Version)","The Piper At The Gates Of Dawn [2011 - Remaster]",1402129
15462787,"Pink Floyd",6,383,447,"Money (2011 Remastered Version)","The Dark Side Of The Moon [2011 - Remaster]",1402131
15465040,"Nirvana",1,302,169,"Smells Like Teen Spirit","Nevermind",1402423
15465042,"Nirvana",3,219,169,"Come As You Are","Nevermind",1402423
15465043,"Nirvana",4,184,169,"Breed","Nevermind",1402423
15465044,"Nirvana",5,257,169,"Lithium","Nevermind",1402423
15465050,"Nirvana",11,194,169,"On A Plain","Nevermind",1402423
15465082,"Nirvana",208,215,169,"Sappy","Nevermind",1402424
15473067,"Mark Iliffe",1,494,372007,"Akina Balu Mist","Akina Balu Mist",1403314
15473079,"Mark Iliffe",2,494,372007,"Akina Balu Mist","Akina Balu Mist",1403314
15473639,"Aphex Twin",4,323,6018,"Ageispolis","Selected Ambient Works 85-92",1403388
15484859,"Disturbed",309,205,4095,"Decadence","The Studio Album Collection",1404313
15484885,"Disturbed",401,278,4095,"Indestructible","The Studio Album Collection",1404313
15487516,"Pink Floyd",5,239,447,"Another Brick In The Wall, Pt. 2 (2011 Remastered Version)","The Wall [2011 - Remaster]",1404558
15487570,"Pink Floyd",206,382,447,"Comfortably Numb (2011 Remastered Version)","The Wall [2011 - Remaster]",1404558
15487633,"Pink Floyd",311,301,447,"Sexual Revolution (The Wall Work In Progress Pt. 1, 1979) [Programme 2] [Band Demo] (2011 Remastered Version)","The Wall [2011 - Remaster]",1404558
15505837,"Lennie Niehaus",32,258,208789,"Fond Memories","Lounge Jazz Café - Chicago",1405964
15510282,"Elvis Presley",6,141,2200,"Hound Dog","Elvis Presley",1406319
15517026,"Sting",210,277,71,"Shape Of My Heart","25 Years",1397955
15526235,"Amaral",9,265,18911,"Cuando Suba La Marea","Hacia Lo Salvaje (Deluxe Edition)",1408183
15530609,"Dean Martin",15,154,2699,"Dreamy Old New England Moon","Christmas With Dean Martin",1408541
15559137,"Pink Floyd",5,266,447,"Pow R. Toc. H (2011 Remastered Version)","The Discovery Boxset",1411401
15559187,"Pink Floyd",313,136,447,"Dramatic Theme (2011 Remastered Version)","The Discovery Boxset",1411401
15563362,"Ben E. King",1,179,5020,"Stand By Me","Stand By Me",1411805
15567776,"Rihanna",1,216,10653,"We Found Love","We Found Love",1412146
15593841,"Amaranthe",2,193,616431,"Hunger","Amaranthe",1414593
15593845,"Amaranthe",6,210,616431,"Amaranthine","Amaranthe",1414593
15594110,"Ben Howard",10,384,487026,"Promise","Every Kingdom",1414619
15603559,"Jack Johnson",4,128,1613,"Sexy Plexi","Brushfire Fairytales",1415477
15603722,"Pink Floyd",11,470,447,"High Hopes (Edit) [2011 Remastered Version]","The Best Of Pink Floyd: A Foot In The Door",1415492
15603730,"Pink Floyd",14,678,447,"Shine On You Crazy Diamond (Parts 1 - 5) [Edit] (2011 Remastered Version)","The Best Of Pink Floyd: A Foot In The Door",1415492
15623380,"Augustus Pablo",12,192,7981,"Pablo Satta","The Very Best of Augustus Pablo Gold [Limited Edition]",1417232
15636173,"INXS",14,273,1399,"Elegantly Wasted","The Very Best",1418343
15641817,"Five Finger Death Punch",1,208,97633,"American Capitalist","American Capitalist",1418609
15641819,"Five Finger Death Punch",2,218,97633,"Under And Over It","American Capitalist",1418609
15641826,"Five Finger Death Punch",6,223,97633,"Generation Dead","American Capitalist",1418609
15654673,"Tito Paris",3,313,59565,"Otilia Otilia","Ao Vivo em Cabo Verde",1419740
15665826,"Electric Light Orchestra",8,247,411,"Strange Magic","The Essential Electric Light Orchestra",1420094
15665840,"Electric Light Orchestra",204,270,411,"Last Train to London","The Essential Electric Light Orchestra",1420094
15665841,"Electric Light Orchestra",205,224,411,"I'm Alive (Album Version)","The Essential Electric Light Orchestra",1420094
15668717,"Trofim",3,193,1116011,"Give me something","Oh, I have lived!",1420805
15671785,"Atreyu",8,146,24087,"Bleeding Mascara","Best Of Atreyu",1421101
15686582,"Waterdown",1,215,19947,"Sleep Well","All Riot",1422451
15692358,"Koli Arce Y Su Quinteto Imperial",25,176,925372,"Eva Liliana De Mi Amor","Koli Arce y su Quinteto Imperial - Discografia Completa Vol.2",1421472
15696167,"Black Eyed Peas",5,327,263,"My Humps","Monkey Business",1423391
15696211,"Black Eyed Peas",12,210,263,"Bebot","Monkey Business",1423391
15698157,"Jennifer Lopez",203,211,21255,"Play","On The 6 / J. Lo (Coffret 2 CD)",1421742
15715288,"September Malevolence",6,287,523764,"And For The Record, I Loved You","Our Withers Unwrung",1424604
15717544,"DJ Chuzfunk",1,245,1119486,"Stylish","Stylish",1424858
