"userid","trackid","mood.adorable","mood.aggressive","mood.amazed","mood.angry","mood.animated","mood.bitchy","mood.bored","mood.celebratory","mood.cool","mood.dancing","mood.deep","mood.delighted","mood.dramatic","mood.dreamy","mood.driving","mood.easy","mood.elegant","mood.emotional","mood.encouraged","mood.energetic","mood.enthusiastic","mood.epic","mood.euphoric","mood.excited","mood.fantastic","mood.fast","mood.festive","mood.free","mood.friendly","mood.fun","mood.funny","mood.furious","mood.gentle","mood.glorious","mood.good","mood.graceful","mood.happy","mood.heroic","mood.hot","mood.in_love","mood.inspired","mood.intense","mood.interested","mood.joyful","mood.jumpy","mood.liberated","mood.light_hearted","mood.liked","mood.loud","mood.melancholic","mood.moody","mood.motivational","mood.nocturnal","mood.passionate","mood.peaceful","mood.playful","mood.pleasant","mood.positive","mood.powerful","mood.pulsating","mood.reflective","mood.relaxed","mood.religious","mood.repetitive","mood.retro","mood.rhythmical","mood.romantic","mood.sad","mood.satisfied","mood.sensual","mood.sentimental","mood.serene","mood.severe","mood.sexual","mood.sexy","mood.slow","mood.smooth","mood.soft","mood.sorry","mood.spiritual","mood.spontaneous","mood.stimulated","mood.strong","mood.stylish","mood.successful","mood.tragic","mood.tranquil","mood.uplifting","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
354,1528,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,0,1,,0,,,,0,,1,0,0,,,,,,,0,,,0,1,,,,,,0,0,,0,,,,,,0,,,0,,,,,,,0,,0,,0,,,,,,,,,0,0,0,1,0,0,1,0,0,0
1147,30436136,,,,,,,,,0,,,,,,,0,,,,,,0,,,,0,0,,,,,,0,,0,,0,0,,,0,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,0,,,0,,,,0,,,,,,,0,1,,,0,,0,,0,0,0,0,0,0,0,1,0
25,11504767,,,,,0,,,,,,,0,0,,0,0,0,,,,0,0,,,,,0,,,,0,,,,,0,0,,,,,,,0,0,,,,,0,,,,,,,0,,,,,0,0,,0,,,,,,,,,,1,,,,,0,,,,,,,0,,0,0,0,0,0,0,1,0,0
1686,29278868,,,,,,,,,,1,,,,0,,,,,,,0,1,,,,,,,0,,0,,0,,,0,,,,0,,,,,,0,,,,0,,,,,,,,,0,,0,,,,0,0,,0,,0,0,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,0,0,1,0
354,417206,,,,0,0,0,,,0,,,,,,,,,,,1,,,1,,,,,0,0,,,,,,,,1,,0,,,,0,,1,,,0,,,,0,,,,,,,,,,,,0,0,,0,0,,,,,1,,,,,0,,,,,,,0,,0,,0,0,1,1,1,0,0,0,0
1459,23605937,,,,0,,,0,,0,0,,,,0,,0,,,,0,,0,,,,,,,,,0,0,,,,,,0,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,0,0,,,,0,,,,,,0,,,,0,0,,,,1,,,0,0,0,0,0,0,0,1,0,0
1459,37606781,,0,,,,,,0,0,,,,,0,,,,,,,,0,,,,,,,,0,0,,,0,0,,0,0,0,,,,1,,,,0,0,,,,,0,,,,,,,,,0,,,,,,,,1,,,,,,,,,0,,,,,,0,0,,0,0,0,0,1,0,0,0,0,0
1686,166306,,,0,,,,0,,,,,,,0,,,0,,,,,0,,,,,,,0,,,,,,0,0,,,0,,,,,,0,,0,,0,0,,,,,,,0,,,,1,,,,,0,,0,,,,,,0,0,1,,,0,,,0,,,,,,,0,0,0,0,0,0,0,1,0
625,1553470,0,0,,,0,,,,,,,0,,,0,,,,,0,,,,0,0,0,,,,,,,,,,,0,,0,0,,,,0,,,,,0,,0,,,,,,1,,,,,,,,,0,0,,,,,,,,0,,,0,,,0,,,,,0,,,0,0,0,0,0,0,0,1,0
1459,22990788,,,,,,,0,,,,,,,,,,0,,0,0,0,,,0,,,,0,0,0,,,,0,,0,,,,,,,0,,,,0,,,0,0,,,,,,,,,,,0,,1,,,0,,0,,,,0,,1,,,,,,,,,,0,,,,0,0,0,1,0,0,0,0,0
25,265626,,,,,,0,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,0,,,0,0,,,,,0,,,,,0,,0,,,,0,0,0,,,,,,,,,,,0,,0,,,1,,,0,0,,0,,,,0,,0,,,,0,,0,0,0,0,0,0,1,0,0
1221,4666782,,,,,,0,,0,,,,,,,,0,,,0,,,,,,,0,,0,,,,,,,,0,0,,,0,,,0,,,0,0,,,0,0,0,,,0,,0,,0,0,0,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,1,0,1,1,1,1,1,1,1
354,417171,,,0,,,,,,,0,,,,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,1,,,,,,,,0,,0,0,,,0,,0,0,,,0,,,,,,,,,1,,,0,0,,1,0,0,,,,0,0,,0,,,0,0,0,1,0,0,0,0,0
1686,18851755,,0,,,,,,,,,,0,,,,,,0,,,0,0,0,,,,1,,,,0,0,,,,,,,,,,,,,,,0,,,0,,,,,,,0,,,,0,,,0,,0,,,,,,,0,,,0,,,,0,,,,0,0,0,,0,0,0,0,0,1,0,0,0,0
1459,38545160,,,0,,,,,,,,,0,,0,,,,,,,,,0,,0,,,,,,,,,,,,,,,0,0,,0,0,,0,,,0,0,,0,,0,,,,,,0,0,,,0,,0,,,,,,,,,0,0,,,,1,,,,,,,,0,0,0,0,1,0,0,0,0,0
25,19010092,0,,,0,,,,,,0,,,,0,0,,,,,,,,,0,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,,,,,0,,,,0,,,,,,,0,,,,0,,,,,0,,,,,1,,0,,0,,0,,,,,,,0,0,0,0,0,0,1,0,0
1147,39832924,0,,,0,,,0,,0,0,,,,1,0,,,,,,,0,,,0,,,0,,,,,,,0,,,,,,,0,,,0,,0,,,,0,0,,,,,,,,0,,0,,,,,,0,,,,,,0,,,,,,,,,0,,0,,,,0,0,0,0,0,0,0,1,0
354,465213,0,,,,,0,,,,,0,0,,,0,,,0,,,,,0,,,0,,,,,,,,,,,,,,,0,,,0,,0,,1,,,,,,,,,,,,,,,,,0,0,1,,0,0,,,,0,,,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,1,1
680,15462689,1,,,0,,1,,,0,,,,,0,0,,,,,,,,0,,,,,,,,,1,,,,,,,,1,1,,,,,0,,,,,1,0,,,,,,0,,0,0,,,,,,0,,1,,,,,1,,0,0,,0,,,,,,,,,,0,0,0,0,0,0,1,1,1
625,35497329,,,,,,,,,,,0,,,,0,,,,,,0,0,,,,,,,,,0,,,0,,,,0,0,,,,0,,,,,,,,1,,,,,0,,,,,0,0,,,,0,,,,,,0,,0,0,0,,,,,,0,0,0,,0,,,1,0,0,0,0,0,0,0,0
1459,793633,0,,1,0,,0,,0,,0,,,,,0,,,,,1,,0,0,0,,,,,,,0,0,,,,,,,,,,0,0,,0,,0,,,,,,,,,,0,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,1,0,0
25,11173703,,,0,,,,,,0,,,,0,,0,,0,,,,0,,,,,0,0,,0,,,,1,,0,,0,0,0,,0,,,,,,,,,,,,,,,,0,,,,,,,0,,0,,,0,,,0,,,0,,0,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
354,164482,,0,,,0,,,,,,,,,,,,0,,,,,,0,,0,,,0,,,,,,0,0,,0,,0,0,,,0,,0,,,,,,,,,,,,0,1,,0,0,,,,,,1,0,,,,,,,,,,0,,,,,0,,,0,,,0,0,0,0,0,1,0,0,0
293,3282726,0,,,,0,,,,,,0,,0,0,,,,,,,,,0,,,,0,,,,,0,,,0,0,0,,0,,,,0,0,,1,,,,,0,,,,,,,0,0,,,,,,,0,,1,,,,,,,,,,,0,,,,,,,,,0,0,0,0,0,1,0,0,0,0
25,12924173,0,,,,,0,,,,,,,,0,,,0,,,,0,0,,,,,,0,,,,,,,,,0,,,,0,,,,,0,,,,0,,0,,,0,0,0,,,0,,,,1,,0,,,,,,,,0,,,,0,,,,0,,0,,,,,1,0,0,0,0,0,0,0,0
2135,42183974,,,1,,,0,,1,0,,,,,,,0,0,0,,,,0,,0,,,,,,,,,0,,,,,,,0,,0,,,1,,,,,0,,,,0,,,,0,,,0,,,,,,,,,,0,,,0,,,,,,,,,0,,0,0,,,0,0,1,0,1,0,0,0,0
25,2212,,,,0,,,,0,,,0,,,,,,0,,0,,,0,,,,,,,,,,0,0,,,1,,,,0,,,,,0,,0,,0,,,,,0,0,,,,,,0,,,,,,,0,,,0,,,,,,0,,,0,,,,,,0,0,,1,0,0,0,0,0,0,0,0
602,37762574,,,,0,0,,,0,,,,,,,,,0,,,0,,,,,,,,0,1,,,,,,0,,,,0,0,,,,,,,0,,,0,,,,,0,,1,0,,0,0,,,,0,,,,,,,,,,,,,,0,,,,0,0,,,,0,0,0,1,0,0,0,0,0,1
1147,4793640,,,,0,,,0,,,,0,,,0,,0,,0,,,,,0,0,0,,,,0,,,,,0,,,,,,,,,,,0,,,,,0,,0,,,,,0,,0,,,,,,,,,,,1,,0,0,,,,,0,,,,,,0,,,,0,0,0,0,0,0,0,0,1,0
145,16349739,,,,,,,,,,,,,,,0,,,1,,,0,,0,,0,,,0,,,,0,,,0,,,,,,,,,,,,,0,,,0,1,,,,,1,0,0,,,,0,,,0,0,,,,,,,0,0,,,,0,0,,,,,,,,0,1,1,0,1,0,0,1,0,0
1188,11627934,,0,,0,,1,0,,,,0,,,,,0,,,,0,,0,0,,,,0,,0,,,,,0,,,,0,,,,,,,1,,0,,,0,,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,,,,,,0,,0,0,,0,0,1,1,0,0,0,0,0
131,37923274,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,0,,0,,,0,,,,0,1,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,0,1,,0,,,,0,,,0,,0,0,,0,,,0,,0,0,,,0,0,1,0,0,0,0,0,0
1686,4189351,0,,,0,,0,,,,,,,,0,,,,,,,,,,0,,0,,,0,,,,,,,,0,,,,0,,,0,,,,0,,,,0,,0,,0,,0,,,,,,,,0,0,,,,,,,0,0,,,1,,,,,,0,,,,0,0,0,0,0,0,0,0,0,1
2135,14647463,,0,,,,,,0,,1,,,,0,,,,0,0,,,,,,0,,,,0,,,0,0,,0,,0,,,0,,,,,0,,0,,,0,,0,,,,,,,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,1,0,0
25,10946256,0,,0,,,,,,0,,,,0,,,,,,0,,,0,0,,,,,,,0,,,,,,,,,,,,,0,1,,,,,,,,0,,,,,0,,0,,,0,,,0,,,,,,0,,,,,,0,0,0,,0,0,,,0,,,,0,0,0,0,0,0,1,0,0
1687,12326475,,0,0,,,,,,,0,0,,,,0,,,,,,,,,,0,0,,0,,,0,,,0,,,,0,,0,,,,0,,,,0,,,,0,,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
1094,3491753,0,,0,0,,0,0,,0,,,,,,0,,,,,,,,,0,0,,0,,,,,,,,,,1,,,,,,,,,,0,0,,,0,,,,,,0,,0,,,,0,,,,,,,0,,,,,,,0,,,,,,,,0,,0,0,1,0,0,0,1,0,1,1,0
602,43770475,,0,0,,,,,,,0,,,,,,0,,,,,0,,0,,,,,,,,,,,0,,,,,,,,,0,0,0,,,,,,0,,0,,,,,,0,0,,,,0,,,,,,,,1,,0,,,,,,1,,,0,0,0,0,,,0,0,1,0,1,0,0,0,0
109,14414981,,,,,,,,,,0,0,,,,,,,,,,,0,0,,0,,,,0,,,,0,0,,,0,,0,,,,,,0,,,,,0,0,1,,,,,,,0,,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,,,,,,,0,0,0,0,0,0,0,1,0
1147,10547204,0,0,,,,,,,0,,0,,,,,,,,,,0,,0,,0,,0,,,,,,,0,,,,0,0,,0,,0,0,,,,,,,,,,,0,,,,1,,,,0,,,0,0,,,,,,,,,,,,,0,,,,0,,0,,,0,0,0,0,0,0,0,1,0
1686,4134070,,,,,0,,0,,0,,,0,0,,,,,,,,,,,,0,,,,,0,,0,1,,0,,,0,,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,0,,0,,,,0,0,,0,,0,,,0,,0,,,0,0,0,0,0,1,0,0,0
602,31818111,,,,,,,,0,,,,,,,,,,,0,,0,0,,,0,0,,,,,,,0,,,0,,0,,,,,0,0,,,,,0,0,,0,,0,0,,,,,,,,0,0,,,,,,,,,,,1,1,,,,,,0,,,,,0,,0,0,0,1,0,0,0,0,1
1147,37921936,,0,,0,,,,,,0,,,,,0,,,0,,1,0,0,0,0,,,,,,,,,,,0,,,0,0,,,,,0,,,0,,,,0,,,,,,,,,,,,0,,0,,,0,,,,,,0,,0,,,,,0,,,,,,,,0,0,0,0,0,0,0,1,0
109,14029003,,,,,0,0,,,,0,,0,0,,0,,,,,0,0,,,,0,0,,,0,,,0,,,0,,,,,,,,,,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,,,,0,,,1,,,,0,1,0,0,0,0,0,0,0
1188,3779506,,,,,,,,,,,0,0,,,,,,,0,,,,,,,0,,0,,0,,,,0,1,0,,0,,,,,,,,,,,,,,,,,,,0,,,0,,,0,0,,,,,0,,0,,,,0,,,,,,0,,,0,1,,0,0,0,1,1,0,0,0,0,0,0
625,41177031,,0,,0,,0,0,0,,,,,0,,,0,,,0,,0,0,,,,,,,0,0,0,,,,,,,,,,,,0,1,,0,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,,0,,,,,,,,0,,,0,0,0,0,1,0,0,0,0,0
2135,29368587,,0,0,,,,,0,,,0,,,,,,,,0,,0,,,0,,,0,,,,,,,,,,,,0,0,,,,,,,,0,0,0,,0,,0,0,0,,,,,,,,0,,,,,,,,,,,,,0,,,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0
1147,13688483,,0,,0,,0,0,0,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,0,0,,0,,0,,,0,,,,,,,,,0,,,,,,1,,,,,,,0,,0,,,0,,,0,0,,0,1,0,0,0,0,0,0,0
602,1387854,,,,,,0,,0,,0,,0,1,,,,0,,0,,,,0,0,,,,,,,,,0,0,,0,,,,,,,,,,,0,0,,1,,,,0,,0,0,,,,,,,,,,,0,,,,0,0,,,,,0,,,,,,,,,,,1,0,0,0,0,0,0,0,1
63,3667298,,0,,0,,,1,,0,,,,,0,1,0,0,,,,0,,,,,0,0,,0,,,,0,,,,0,,,,,,,,,0,,0,,,,,,0,,0,,,,0,,,,0,,,,,,,,,,,,,0,,,,0,,,,,,,,0,0,0,0,0,0,0,0,0
293,6664762,,,,,0,0,,,0,,,,,,,0,,,0,,0,,0,0,0,0,,,,0,,,,,,,,,,0,,,,,,,,,,0,,0,,,0,,,,0,,,,,0,0,,,0,,,,,,,0,,,,1,,,0,,,,,,,0,0,0,0,0,0,0,0,1
579,2846723,0,,0,,,,,0,,,,,,,,0,,,,,,,,,0,,0,,,0,,0,0,0,,,0,,,,,1,,,1,,,,,0,,,0,,,,0,0,,,,,,,,,0,,,,,,,,,0,0,0,,,,,,,,,0,,0,0,0,0,1,0,0,0,0
145,449739,,,,0,,,0,1,,,,,,,0,,0,,0,,,,,1,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,0,0,,,,,,,0,0,,,,,,,0,0,,0,,0,1,,0,,,,,0,,0,,,,,,,1,0,0,0,1,0,1,1,0
131,4795437,,,,,0,0,,0,,1,,,1,,,,,,,0,0,,0,,,,,,0,,,,,,0,0,,,,,,,,,,,,,0,,,,0,,,,0,,0,,0,,0,,,,0,,,,,,,,0,,,,,,,,0,0,,,0,,0,0,1,0,1,0,0,0,0
1188,20017488,0,,,0,,,0,0,,0,,,,,,,,,,0,0,,,,,0,,,,,,,0,,1,,0,0,,,,0,,,0,,,,,,,,,0,,1,0,0,,,,,,,,,,,,,,,0,,0,,,,,0,,0,,,,,,,0,0,0,0,1,0,0,1,0
1094,3504798,0,,,0,,0,0,,,0,,0,,,,,,,0,,,,,,0,0,,0,,0,,,0,,0,,,0,,1,0,,,,,,0,,,,,,,,,,,,0,,,,,,,0,,0,,,,,,,,,,,,,,,0,0,,,,,1,0,0,0,1,0,1,0,0
602,3916691,,,0,,0,,,,,,,0,,,,0,0,,,0,,,,1,,,,,,,,,,,0,,,0,,0,,,,,,,,,0,,0,0,,,,0,,0,0,,,0,,,,,,,,1,0,,,0,,,,,,,,,,0,,0,,,1,1,0,0,0,0,0,0,0
1459,40588073,,,0,,0,,,,,0,,,,,,,,,,,,,,,,0,0,,,0,,0,,,,,,,,,,,0,,0,,,,1,,,,,0,,,0,,0,0,,,,0,,,,0,,0,0,,,0,0,,0,,,,,0,,,,,,,0,0,0,0,0,0,1,0,0
680,6952174,,,,,,,,,,,0,1,0,,,,0,,0,0,,,,0,,1,,,,,,,,,,,,,,,0,,,0,,,,1,1,,,,,,,,,1,1,,,0,,,,,,,0,,0,,,,,0,0,,0,,,0,0,,,,,,0,0,0,1,1,0,1,1,0
188,2853689,,0,,,,,0,,,1,0,,,,,,0,,,,,,0,,,,,,,,,,0,,,,,0,,,0,0,,,,,,,0,,,,,,,,,,0,,,0,,,,,,0,,0,,0,0,,,,,,,,0,0,0,0,,,,0,1,0,0,0,0,0,0,0,0
1459,17555553,,,0,,,,,0,,1,,,,,,,,,,,,0,,,,,,,,0,,,,0,1,,0,0,0,,0,0,,,0,,,,,0,,,,0,0,,,0,,,,,,,0,,0,0,0,,,,0,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0
25,34719359,,,0,0,,0,0,,,0,,0,,0,,,,,,,,0,,,,,,,,,,0,,,,,0,,,,0,,0,,0,,,,,,,,0,,,,,,0,,,0,,,,,,,0,1,,0,,,0,,,0,,,,0,,,,,,,0,1,0,0,0,0,0,0,0
625,31340251,,0,,,,0,,,,0,,0,,0,,1,,,,,,0,,,,,,,,0,,,0,0,,,0,0,0,,,,,0,0,0,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,0,0,0,0,0,0,0,0,0
1686,21656942,,0,,,0,,,,,,0,0,,,0,,,,0,0,,0,,0,,,0,,,0,,,,0,,,,,0,,,,0,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,0,,,,,,,1,,,,,,,0,0,,0,0,0,0,0,1,0,0,0,0
1459,5635664,0,,0,0,,,,,,0,0,,,0,,,,,,,,,,0,,,,,,,,0,,,,,,,,1,0,,,0,,,,,,0,0,0,,,0,,,,0,,,0,,,,,0,,,,,,0,,0,,,,0,,0,,,,,,,,0,1,0,0,0,0,0,0,0
12,43297896,0,,,,,,,,,,,,0,0,,,0,0,1,,,,0,,,,,,,,,,,,0,,0,,,,,0,0,0,,0,,0,,0,,,,,,,,,,0,,,,,,,,,0,,,0,0,,,,,,,0,,,0,,0,,,,1,1,0,0,1,0,1,0,0
1041,12850838,,,,,,0,,,,0,,,,,0,,,,,,1,0,0,,,,,,,,,,,0,,,,,,0,1,,,0,,,0,,0,,,,,,0,0,,0,,,0,,,,,0,0,,,0,,,,,,,,0,,,,,,,,0,0,,0,0,0,1,1,0,0,0,0
1687,45057693,,0,,,,,0,,0,,,,0,,0,,0,,0,,,,,0,0,,,0,0,0,,,,,0,,,0,,1,0,,,,,,,,,,,,,0,,,,,0,,,0,,,,,,,0,,,,0,,,0,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
25,896750,,,0,0,,0,,,,,,0,,,0,,0,0,,,0,,,,,,,,0,,,0,0,0,,,,,0,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,,,,1,,,0,,0,0,0,0,1,0,0,0,0
1188,164549,,,,,0,0,0,,,,0,,,,,,,0,,,,0,0,,0,,,,,0,,0,0,0,,0,,0,,0,,,,,,,,0,,,,,,,1,,1,,,0,,,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0
1615,265809,0,,,,,,,,,,,,,,0,0,0,,,,,,,,,0,,,0,,,,,0,,0,0,,,,0,,0,,,,1,,,0,,,0,,,,0,,0,,,,0,,,,,,,,,,,0,,,,,0,0,,0,,,,,0,,1,0,0,1,0,0,1,0,0
1147,3681261,,,0,,,0,,,,,,,1,,0,0,,,,,,,,,,,0,,,,,0,0,,,,,0,,,,,,,0,,,,,0,,,,0,,,0,,,,0,,,0,,0,,0,,0,,,,,,0,,,,,,,0,,,0,0,,0,0,0,0,0,0,0,1,0
1686,5700069,,,0,,,,,,,,0,,,,0,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,0,,,,0,,0,,,0,,,0,,,0,,,0,,,,,,,,0,,,,0,,0,0,,,0,0,1,0,,,0,,0,0,0,0,0,1,0,0,0
25,1501814,0,0,,0,,0,0,,,,0,,,0,,,0,0,,,,,,,1,,,,0,0,,,0,,,,,,,,,,,0,0,,,,,,0,,,0,0,,,,,,,,,,,0,,,0,,0,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1
1687,32589371,,,,,0,,,,,,,,0,0,,,,0,,,0,,,,0,,0,,,,0,,,0,,,,,,,,0,,0,,0,,0,,0,,,,,0,,,,,,,,,,,,,0,,,,,,0,,,0,,,,0,1,,0,0,,,,1,0,0,0,0,0,0,0,0
188,22689867,0,,,,,,,0,,,,,,,,,0,,,0,,0,0,,0,,,,0,,,0,0,,1,,0,0,,,,,,,,,,,0,,,0,,1,0,,,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0
1459,11236236,,,,1,,,,,,,0,,0,,,,0,,,,,,0,,,0,,,1,0,,0,,,,0,,,,,0,,,0,,,,,,0,,0,,,,,,,,,0,,,0,,0,,,,,,,,0,0,0,0,,,0,,,,,,,,,0,0,0,1,0,0,0,0,0
12,19762405,,0,0,,,,,,,,,0,,,,,,0,,,,,0,0,0,,,,,,,,0,0,,,,,0,,,0,1,0,,,,,0,0,,0,,,,,,,,,,,0,0,,,,,,,,,0,0,,,,,0,,,,,,,,0,,0,1,0,1,1,1,0,0,0
680,220629,,,,,,,,0,0,,0,,,0,,,,,,0,,0,,,,,,,0,0,,,,,,,,,0,,,0,,,,,,,,,,,,1,0,,,,1,1,,0,,,,0,0,,,,,0,,1,,,,,,1,,,0,,,,1,,1,0,1,0,0,0,0,1,0
1459,29795232,1,0,,0,,0,,0,,,,,0,,,0,0,0,,0,,,,,0,,,,,,0,,,,,,,,,,0,1,,0,0,,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,0,,,0,,,0,0,0,0,1,0,0,0,0
1738,19812539,,,1,,,,,,1,,,,,,1,0,,1,0,,,,0,,,,0,,,,,0,,,,,0,,,,,,,,0,,,,,,0,1,,,,0,,,1,,0,,,,0,,,,,0,,,,,,,,,1,,,,0,,,0,0,,0,1,1,0,0,1,1,1,1
2143,42945847,0,,,,1,,0,1,,0,0,,,0,0,0,,,,,,,0,,,,1,,,,0,,,,,,1,,,0,,,,0,,,,,,,0,,,0,,,,,,,,0,,0,,,,,,,,,,,,,0,,,,,,,,,0,0,,1,0,0,0,0,1,1,1,0
1686,15071300,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,0,,0,0,,,,,,,,0,,0,0,,,0,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,0,,,,0,,,,0,,0,1,0,,0,,0,0,0,0,0,0,1,0,0,0
